phylum,class,order,published_year,category
TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,1998,LR/cd
TRACHEOPHYTA,PINOPSIDA,PINALES,2013,LC
TRACHEOPHYTA,PINOPSIDA,PINALES,2017,EN
TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,2011,VU
TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,2017,LC
TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,2017,EN
TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,2017,VU
TRACHEOPHYTA,PINOPSIDA,PINALES,2011,LC
TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,2012,EN
TRACHEOPHYTA,PINOPSIDA,PINALES,2011,CR
TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,2017,NT
TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,1998,VU
TRACHEOPHYTA,PINOPSIDA,PINALES,2013,EN
TRACHEOPHYTA,PINOPSIDA,PINALES,2017,VU
TRACHEOPHYTA,PINOPSIDA,PINALES,2011,EN
TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,2017,LC
TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,2017,LC
TRACHEOPHYTA,MAGNOLIOPSIDA,SCROPHULARIALES,2017,LC
TRACHEOPHYTA,MAGNOLIOPSIDA,SCROPHULARIALES,2017,LC
TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,2017,LC
TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,2017,LC
TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,2017,NT
TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,2017,EN
TRACHEOPHYTA,MAGNOLIOPSIDA,THEALES,2017,LC
TRACHEOPHYTA,MAGNOLIOPSIDA,FABALES,1998,LR/nt
TRACHEOPHYTA,MAGNOLIOPSIDA,FABALES,2014,EN
TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,1998,LR/cd
TRACHEOPHYTA,MAGNOLIOPSIDA,FABALES,1998,VU
TRACHEOPHYTA,MAGNOLIOPSIDA,RHIZOPHORALES,1998,VU
TRACHEOPHYTA,MAGNOLIOPSIDA,RHIZOPHORALES,1998,DD
TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,1998,LR/lc
TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,1998,LR/nt
TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,1998,LR/nt
TRACHEOPHYTA,MAGNOLIOPSIDA,PROTEALES,1998,LR/cd
TRACHEOPHYTA,MAGNOLIOPSIDA,GERANIALES,1998,DD
TRACHEOPHYTA,MAGNOLIOPSIDA,PROTEALES,1998,VU
TRACHEOPHYTA,MAGNOLIOPSIDA,PROTEALES,1998,EN
TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,1998,LR/nt
TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,1998,VU
TRACHEOPHYTA,MAGNOLIOPSIDA,PROTEALES,1998,LR/nt
TRACHEOPHYTA,MAGNOLIOPSIDA,PROTEALES,1998,VU
TRACHEOPHYTA,MAGNOLIOPSIDA,CELASTRALES,1998,VU
TRACHEOPHYTA,MAGNOLIOPSIDA,PRIMULALES,1998,VU
TRACHEOPHYTA,LILIOPSIDA,ARECALES,2016,VU
TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,1998,VU
TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,1998,DD
TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,1998,VU
TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,1998,LR/lc
TRACHEOPHYTA,MAGNOLIOPSIDA,CANELLALES,1998,EN
TRACHEOPHYTA,PINOPSIDA,PINALES,2013,CR
TRACHEOPHYTA,LILIOPSIDA,ARECALES,1998,EW
TRACHEOPHYTA,LILIOPSIDA,ARECALES,1998,EN
TRACHEOPHYTA,PINOPSIDA,PINALES,2013,VU
TRACHEOPHYTA,PINOPSIDA,PINALES,2011,CR
TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,2016,CR
TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES,2016,CR
TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,1998,EN
TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,2004,VU
TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,1998,EN
TRACHEOPHYTA,MAGNOLIOPSIDA,FABALES,1998,EN
TRACHEOPHYTA,MAGNOLIOPSIDA,FABALES,1998,VU
TRACHEOPHYTA,MAGNOLIOPSIDA,FABALES,1998,EN
TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,2016,EN
TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,2017,EN
TRACHEOPHYTA,MAGNOLIOPSIDA,FABALES,1998,VU
TRACHEOPHYTA,MAGNOLIOPSIDA,FABALES,1998,VU
TRACHEOPHYTA,MAGNOLIOPSIDA,FABALES,1998,EW
TRACHEOPHYTA,MAGNOLIOPSIDA,FABALES,1998,EX
TRACHEOPHYTA,LILIOPSIDA,ASPARAGALES,1998,VU
TRACHEOPHYTA,LILIOPSIDA,ASPARAGALES,1998,EN
TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,1998,CR
TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,1998,EX
TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,1998,EN
TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,2004,NT
TRACHEOPHYTA,LILIOPSIDA,ARECALES,1998,VU
TRACHEOPHYTA,LILIOPSIDA,ARECALES,1998,CR
TRACHEOPHYTA,LILIOPSIDA,ARECALES,2018,EN
TRACHEOPHYTA,MAGNOLIOPSIDA,APIALES,1998,VU
TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,2004,VU
TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,2018,EN
TRACHEOPHYTA,MAGNOLIOPSIDA,SANTALALES,1998,EX
TRACHEOPHYTA,MAGNOLIOPSIDA,THEALES,2018,VU
TRACHEOPHYTA,MAGNOLIOPSIDA,THEALES,2015,EW
TRACHEOPHYTA,MAGNOLIOPSIDA,THEALES,1998,CR
TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,1998,VU
TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,2004,NT
TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,2018,LC
TRACHEOPHYTA,MAGNOLIOPSIDA,BORAGINALES,1998,LR/nt
TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,2004,VU
TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,2004,VU
TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,2004,VU
TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,2004,NT
TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,2004,NT
TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,1998,VU
TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,1998,VU
TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,2004,LC
TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,2004,VU
TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,2004,VU
TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,2004,LC
TRACHEOPHYTA,MAGNOLIOPSIDA,FABALES,2004,NT
TRACHEOPHYTA,LILIOPSIDA,ASPARAGALES,2004,VU
TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,2004,LC
TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES,2004,LC
TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,1998,LR/nt
TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,2004,VU
TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,2004,VU
TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,2004,VU
TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES,1998,LR/nt
TRACHEOPHYTA,MAGNOLIOPSIDA,FABALES,2017,CR
TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,2015,EN
TRACHEOPHYTA,MAGNOLIOPSIDA,FABALES,1998,VU
TRACHEOPHYTA,MAGNOLIOPSIDA,FABALES,2000,CR
TRACHEOPHYTA,MAGNOLIOPSIDA,FABALES,1998,CR
TRACHEOPHYTA,MAGNOLIOPSIDA,SAXIFRAGALES,2004,VU
TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,2015,EN
TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,1998,DD
TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,1998,LR/nt
TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,1998,EN
TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,1998,VU
TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,1998,VU
TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,1998,CR
TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,1998,CR
TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,1998,CR
TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,1998,CR
TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,1998,CR
TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,1998,CR
TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,1998,CR
TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,1998,CR
TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,1998,VU
TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES,1998,VU
TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES,1998,VU
TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,1998,VU
TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,1998,VU
TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,1998,VU
TRACHEOPHYTA,MAGNOLIOPSIDA,CANELLALES,2017,VU
TRACHEOPHYTA,MAGNOLIOPSIDA,APIALES,1998,LR/lc
TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,1998,LR/lc
TRACHEOPHYTA,MAGNOLIOPSIDA,SCROPHULARIALES,1998,LR/nt
TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,1998,LR/lc
TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,1998,LR/lc
TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES,1998,DD
TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES,1998,DD
TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES,1998,DD
TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,1998,DD
TRACHEOPHYTA,PINOPSIDA,PINALES,2017,CR
TRACHEOPHYTA,MAGNOLIOPSIDA,APIALES,1998,LR/nt
TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,1998,EN
TRACHEOPHYTA,MAGNOLIOPSIDA,APIALES,2014,CR
TRACHEOPHYTA,MAGNOLIOPSIDA,PRIMULALES,1998,VU
TRACHEOPHYTA,MAGNOLIOPSIDA,PRIMULALES,1998,VU
TRACHEOPHYTA,MAGNOLIOPSIDA,APIALES,1998,VU
TRACHEOPHYTA,MAGNOLIOPSIDA,APIALES,1998,LR/nt
TRACHEOPHYTA,MAGNOLIOPSIDA,APIALES,1998,LR/cd
TRACHEOPHYTA,MAGNOLIOPSIDA,APIALES,1998,LR/nt
TRACHEOPHYTA,MAGNOLIOPSIDA,FABALES,1998,VU
TRACHEOPHYTA,MAGNOLIOPSIDA,FABALES,1998,LR/nt
TRACHEOPHYTA,MAGNOLIOPSIDA,FABALES,1998,LR/nt
TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,1998,LR/nt
TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,1998,LR/nt
TRACHEOPHYTA,MAGNOLIOPSIDA,SCROPHULARIALES,1998,VU
TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,1998,VU
TRACHEOPHYTA,MAGNOLIOPSIDA,APIALES,1998,LR/nt
TRACHEOPHYTA,PINOPSIDA,PINALES,2011,VU
